run_id,harness,model,family,condition,rep,original_valid,original_raw_F,original_raw_S,original_raw_U,original_F,original_S,original_U,original_outcome,termination,original_result,review_status,revised_valid,revised_F,revised_S,revised_U,revised_outcome,replay_existing,replay_feature,replay_invariant,corrected_replay_existing,corrected_replay_feature,corrected_replay_invariant,service_sha256,patch_sha256,submitted_service,saved_patch,original_replay_agrees,original_replay_log,revised_replay_log,full_contract_adjudication,X06_mixed_fixture_mechanism
ec63137bfe9156daa65a26b7,MiniSWE,QwenNext,F01,N,1,True,True,True,False,True,True,False,F_PASS_S_PASS,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/ec63137bfe9156daa65a26b7/result.json,not_replayed_unaffected_family,True,True,True,False,F_PASS_S_PASS,,,,,,,,,,,,,,,
9bf1ac2071f815168310cca9,MiniSWE,QwenNext,F01,N,2,True,True,True,False,True,True,False,F_PASS_S_PASS,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/9bf1ac2071f815168310cca9/result.json,not_replayed_unaffected_family,True,True,True,False,F_PASS_S_PASS,,,,,,,,,,,,,,,
91dbfb9c629e326be654c746,MiniSWE,QwenNext,F01,C,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/91dbfb9c629e326be654c746/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
3a60f8a18dd75ad6ac7e4297,MiniSWE,QwenNext,F01,C,2,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/3a60f8a18dd75ad6ac7e4297/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
89fd584e34996034cfcde687,MiniSWE,QwenNext,F01,I,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/89fd584e34996034cfcde687/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
5d04565c0801eef687f86a26,MiniSWE,QwenNext,F01,I,2,True,True,True,False,True,True,False,F_PASS_S_PASS,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/5d04565c0801eef687f86a26/result.json,not_replayed_unaffected_family,True,True,True,False,F_PASS_S_PASS,,,,,,,,,,,,,,,
b501f51678ecf80ca9355086,MiniSWE,QwenNext,F01,B,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/b501f51678ecf80ca9355086/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
72263759d22407e61369c526,MiniSWE,QwenNext,F01,B,2,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/72263759d22407e61369c526/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
e25c9c0ec6b1c7b00f7b5be4,MiniSWE,QwenNext,F02,N,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/e25c9c0ec6b1c7b00f7b5be4/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
d7859f9cda50e72c0c15fd26,MiniSWE,QwenNext,F02,N,2,True,True,True,False,True,True,False,F_PASS_S_PASS,REPEATED_POLICY_VIOLATION,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/d7859f9cda50e72c0c15fd26/result.json,not_replayed_unaffected_family,True,True,True,False,F_PASS_S_PASS,,,,,,,,,,,,,,,
6699c13e003bddf1a015b743,MiniSWE,QwenNext,F02,C,1,True,True,True,False,True,True,False,F_PASS_S_PASS,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/6699c13e003bddf1a015b743/result.json,not_replayed_unaffected_family,True,True,True,False,F_PASS_S_PASS,,,,,,,,,,,,,,,
8121536f2e77a4e25a7cbe2c,MiniSWE,QwenNext,F02,C,2,True,True,False,True,True,False,True,F_PASS_S_FAIL,REPEATED_POLICY_VIOLATION,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/8121536f2e77a4e25a7cbe2c/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
df1da671979986bd16000415,MiniSWE,QwenNext,F02,I,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/df1da671979986bd16000415/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
776203fa8ba16391483e9b0f,MiniSWE,QwenNext,F02,I,2,True,True,False,True,True,False,True,F_PASS_S_FAIL,REPEATED_POLICY_VIOLATION,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/776203fa8ba16391483e9b0f/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
ce2721e702acf01f7db7ddf2,MiniSWE,QwenNext,F02,B,1,True,True,True,False,True,True,False,F_PASS_S_PASS,LimitsExceeded,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/ce2721e702acf01f7db7ddf2/result.json,not_replayed_unaffected_family,True,True,True,False,F_PASS_S_PASS,,,,,,,,,,,,,,,
a446b5388afc8b523c007a48,MiniSWE,QwenNext,F02,B,2,True,True,True,False,True,True,False,F_PASS_S_PASS,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/a446b5388afc8b523c007a48/result.json,not_replayed_unaffected_family,True,True,True,False,F_PASS_S_PASS,,,,,,,,,,,,,,,
fa927ec958bfe4563b23255e,MiniSWE,QwenNext,F04,N,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/fa927ec958bfe4563b23255e/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
9b3b52a5272a5a4013cb2506,MiniSWE,QwenNext,F04,N,2,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/9b3b52a5272a5a4013cb2506/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
367866c96bd84145a890d152,MiniSWE,QwenNext,F04,C,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/367866c96bd84145a890d152/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
45e6b0c4b19ee42b758f6f3b,MiniSWE,QwenNext,F04,C,2,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/45e6b0c4b19ee42b758f6f3b/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
e451878f20564feca7c92494,MiniSWE,QwenNext,F04,I,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/e451878f20564feca7c92494/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
e89457cb6da9713d3eef5ccd,MiniSWE,QwenNext,F04,I,2,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/e89457cb6da9713d3eef5ccd/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
7f80d0374419b1b0660d8146,MiniSWE,QwenNext,F04,B,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/7f80d0374419b1b0660d8146/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
05caed6bc1fc7e86cb61d7a2,MiniSWE,QwenNext,F04,B,2,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/05caed6bc1fc7e86cb61d7a2/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
f448ba9af0c7e87951541371,MiniSWE,QwenNext,F08,N,1,True,True,False,True,True,False,True,F_PASS_S_FAIL,Submitted,/home/anjum/final-13-audit-20260906/evidence/controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/f448ba9af0c7e87951541371/result.json,not_replayed_unaffected_family,True,True,False,True,F_PASS_S_FAIL,,,,,,,,,,,,,,,
